EP ID,Home LC,Home MC,Home Region,Host LC,Host MC,Host Region,Date Break RE
b6a4262d8a75c359c95eed8d570da57e,WASHINGTON DC,United States,Americas,USMA,Panama,Americas,2020-04-05 02:06
7c69e9e7a3ef8da21e1e069dbc97e61c,PASTO,Colombia,Americas,La Laguna,Mexico,Americas,2020-06-05 01:17
b81a3dd2f5caee099277f8c3f55b90ed,Universidad San Marcos,Peru,Americas,VITÓRIA,Brazil,Americas,2020-05-24 03:10
65b1d432df73d4c739b9833fbd52839f,Universidad San Marcos,Peru,Americas,BAURU,Brazil,Americas,2020-04-01 02:19
bbcab56ec01b10174dc44eb281290e9b,RECIFE,Brazil,Americas,UP,Mexico,Americas,2020-06-25 06:48
5ae9bc1d0134bc40106c95b62887b875,TEC,Costa Rica,Americas,UP,Mexico,Americas,2020-06-12 15:51
143167a078d615560c637229e57ce6c0,BELO HORIZONTE,Brazil,Americas,DEBRECEN,Hungary,Europe,2020-02-11 19:40
50386b835dad75dd8bf4c96a87306fd7,FORTALEZA,Brazil,Americas,GRONINGEN,The Netherlands,Europe,2020-04-28 01:39
6dd35d78e7d77f704f7080af6d99d92b,UPB,Colombia,Americas,MC CHILE,Chile,Americas,2020-08-25 12:47
39c78cbe1dddca49a1e252c29143d5de,Mumbai,India,Asia Pacific,MIAMI FLORIDA,United States,Americas,2020-04-11 04:34
f947eed7702c662585b539c49bd536ed,FRANKFURT (MAIN),Germany,Europe,MANAUS,Brazil,Americas,2020-04-10 22:45
5adbb64df231fabcf8c086ba342744f1,VIÇOSA,Brazil,Americas,Nordeste,Argentina,Americas,2020-03-04 05:17
58575854664a8aff31f72dcb9651e6c0,REGENSBURG,Germany,Europe,FTU Hanoi,VIETNAM,Asia Pacific,2020-03-20 18:11
905e8ef13388767c527f33c0bf7b787f,BRASÍLIA,Brazil,Americas,ANDES,Colombia,Americas,2020-03-15 05:17
27c5e937cc6e90afc33cdebbef718bca,BRASÍLIA,Brazil,Americas,ANDES,Colombia,Americas,2020-03-15 05:17
66007075f062a0b02d29c6ca27f01c4a,ARACAJU,Brazil,Americas,Lima,Peru,Americas,2020-02-06 04:31
00ec4cd1ead63aa1658a4749f3691d25,ARACAJU,Brazil,Americas,GUC,Egypt,Middle East and Africa,2020-02-09 13:16
d504b2aefa8aba91252a24c0c332f9e0,Occidente,Costa Rica,Americas,SANTOS,Brazil,Americas,2020-01-24 21:53
3e913dd173b4f2ac321cea9295b50d34,LIMEIRA,Brazil,Americas,Córdoba,Argentina,Americas,2020-02-22 00:54
c81c446c74481dc403894109f375545e,USP,Brazil,Americas,Piura,Peru,Americas,2020-01-28 04:19
988312de50064894b7ad11e58d286a5c,CARTAGENA,Colombia,Americas,ABC,Brazil,Americas,2020-05-11 07:32
fe467028d717ab5af595b43db24a2405,JOINVILLE,Brazil,Americas,MONTERIA,Colombia,Americas,2020-04-05 16:23
342e3cd1401b70dca893c83cba28fff8,Chennai,India,Asia Pacific,SAN JOSE,United States,Americas,2020-04-11 04:34
25770201ec4e2620bafc9cf6be870bfe,Rosario (Argentina),Argentina,Americas,GOIANIA,Brazil,Americas,2020-02-05 02:32
bb6cd037685ef147ad534223905a63df,UCC (University of Cape Coast),Ghana,Middle East and Africa,Taiwan NTHU,Taiwan,Asia Pacific,2020-09-13 18:01
3f45622425449a7bd27164e3299f5ec3,HADRUMET,Tunisia,Middle East and Africa,Odense,Denmark,Europe,2020-02-17 04:01
4750013c5816803ecc825e7aaa9f5318,COIMBRA NEFE,Portugal,Europe,CALGARY,Canada,Americas,2020-04-12 21:01
7a05f883062a4930f29c534bb15490d1,University of Southern California (USC),United States,Americas,MUENCHEN,Germany,Europe,2020-04-29 04:26
767f82df82c5da0da6fc5b5b7ce78987,Tec Toluca,Mexico,Americas,Mansoura,Egypt,Middle East and Africa,2020-01-22 19:41
5f0b9bbb91ef77aa5a85e09dd7fc8fe2,Tampico,Mexico,Americas,"SPUEF, Saint-Petersburg",Russia,Europe,2020-05-16 19:23
bedc18fa9839145730c295b3907243c6,Tacapes,Tunisia,Middle East and Africa,LISBOA NOVA,Portugal,Europe,2020-03-11 15:51
4635d1e288bb8cf9f828cb430b96d9f5,VINNYTSIA,Ukraine,Europe,LISBOA NOVA,Portugal,Europe,2020-03-27 21:19
ab8366de742b47e7c30b06f40ac6a619,SAO CARLOS,Brazil,Americas,Trujillo,Peru,Americas,2020-02-28 02:59
82b96ed02ecf6ffe14522b006ba2b4c7,MEDINA,Tunisia,Middle East and Africa,BREMEN,Germany,Europe,2020-04-17 23:27
